
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-05-13 00:48:18 ........................................................................................... ~ 0s
  2026-05-13 00:48:18 ........................................................................................... ~ 0s
  2026-05-13 00:48:18 ........................................................................................... ~ 0s
  2026-05-13 00:48:18 ........................................................................................... ~ 0s
  2026-05-13 00:48:18 ........................................................................................... ~ 0s
  2026-05-13 00:48:18 ........................................................................................... ~ 0s
  2026-05-13 00:48:18 ........................................................................................... ~ 1s
  2026-05-13 00:48:18 ........................................................................................... ~ 1s
  2026-05-13 00:48:19 ........................................................................................... ~ 0s
  2026-05-13 00:48:19 ........................................................................................... ~ 0s
  2026-05-13 00:48:19 ........................................................................................... ~ 0s
  2026-05-13 00:48:19 ........................................................................................... ~ 0s
  2026-05-13 00:48:19 ........................................................................................... ~ 0s
  2026-05-13 00:48:19 ........................................................................................... ~ 0s
  2026-05-13 00:48:19 ........................................................................................... ~ 0s
  2026-05-13 00:48:19 ........................................................................................... ~ 0s
  2026-05-13 00:48:19 ........................................................................................... ~ 0s
  2026-05-13 00:48:19 ........................................................................................... ~ 0s
  2026-05-13 00:48:19 ........................................................................................... ~ 0s
  2026-05-13 00:48:19 ........................................................................................... ~ 0s
  2026-05-13 00:48:19 ........................................................................................... ~ 0s
  2026-05-13 00:48:19 ........................................................................................... ~ 0s
  2026-05-13 00:48:19 ........................................................................................... ~ 0s
  2026-05-13 00:48:19 ........................................................................................... ~ 1s
  2026-05-13 00:48:19 ........................................................................................... ~ 1s
  2026-05-13 00:48:20 ........................................................................................... ~ 0s
  2026-05-13 00:48:22 ........................................................................................... ~ 0s
  2026-05-13 00:48:22 ........................................................................................... ~ 1s
  2026-05-13 00:48:23 ........................................................................................... ~ 0s
  2026-05-13 00:48:24 ........................................................................................... ~ 0s
  2026-05-13 00:48:24 ........................................................................................... ~ 0s
  2026-05-13 00:48:24 ........................................................................................... ~ 0s
  2026-05-13 00:50:23 ........................................................................................... ~ 0s
  2026-05-13 00:57:44 ........................................................................................... ~ 1s
  2026-05-13 00:57:46 ........................................................................................... ~ 0s
  2026-05-13 00:57:46 ........................................................................................... ~ 0s
  2026-05-13 00:57:46 ........................................................................................... ~ 0s
  2026-05-13 00:57:46 ........................................................................................... ~ 0s
  2026-05-13 00:57:46 ........................................................................................... ~ 0s
  2026-05-13 00:57:48 ........................................................................................... ~ 0s
  2026-05-13 00:57:48 ........................................................................................... ~ 0s
  2026-05-13 00:57:48 ........................................................................................... ~ 0s
  2026-05-13 00:57:48 ........................................................................................... ~ 0s
  2026-05-13 00:57:53 ........................................................................................... ~ 0s
  2026-05-13 00:57:54 ........................................................................................... ~ 0s
  2026-05-13 00:57:54 ........................................................................................... ~ 1s
  2026-05-13 00:57:55 ........................................................................................... ~ 0s
  2026-05-13 00:57:55 ........................................................................................... ~ 0s
  2026-05-13 00:57:55 ........................................................................................... ~ 0s
  2026-05-13 00:57:55 ........................................................................................... ~ 0s
  2026-05-13 00:57:55 ........................................................................................... ~ 0s
  2026-05-13 00:57:55 ........................................................................................... ~ 0s
  2026-05-13 00:58:06 ........................................................................................... ~ 1s
  2026-05-13 00:58:06 ........................................................................................... ~ 1s
  2026-05-13 00:58:06 ........................................................................................... ~ 1s
  2026-05-13 00:58:06 ........................................................................................... ~ 1s
  2026-05-13 00:58:06 ........................................................................................... ~ 1s
  2026-05-13 00:58:06 ........................................................................................... ~ 1s
  2026-05-13 00:58:06 ........................................................................................... ~ 1s
  2026-05-13 00:58:06 ........................................................................................... ~ 1s
  2026-05-13 00:58:06 ........................................................................................... ~ 1s
  2026-05-13 00:58:06 ........................................................................................... ~ 1s
  2026-05-13 00:58:06 ........................................................................................... ~ 1s
  2026-05-13 00:58:06 ........................................................................................... ~ 2s
  2026-05-13 00:58:06 ........................................................................................... ~ 2s
  2026-05-13 00:58:06 ........................................................................................... ~ 2s
  2026-05-13 00:58:06 ........................................................................................... ~ 2s
  2026-05-13 00:58:06 ........................................................................................... ~ 2s
  2026-05-13 00:58:06 ........................................................................................... ~ 2s
  2026-05-13 00:58:06 ........................................................................................... ~ 2s
  2026-05-13 00:58:08 ........................................................................................... ~ 0s
  2026-05-13 00:58:08 ........................................................................................... ~ 0s
  2026-05-13 00:58:08 ........................................................................................... ~ 0s
  2026-05-13 00:58:08 ........................................................................................... ~ 0s
  2026-05-13 00:58:10 ........................................................................................... ~ 0s
  2026-05-13 00:58:10 ........................................................................................... ~ 0s
  2026-05-13 00:58:10 ........................................................................................... ~ 0s
  2026-05-13 00:58:10 ........................................................................................... ~ 0s
  2026-05-13 01:01:30 ........................................................................................... ~ 1s
  2026-05-13 01:01:31 ........................................................................................... ~ 0s
  2026-05-13 01:01:31 ........................................................................................... ~ 0s
  2026-05-13 01:01:31 ........................................................................................... ~ 0s
  2026-05-13 01:01:31 ........................................................................................... ~ 0s
  2026-05-13 01:02:08 ........................................................................................... ~ 0s
  2026-05-13 01:02:08 ........................................................................................... ~ 0s
  2026-05-13 01:02:08 ........................................................................................... ~ 0s
  2026-05-13 01:02:08 ........................................................................................... ~ 1s
  2026-05-13 01:02:09 ........................................................................................... ~ 0s
  2026-05-13 01:02:33 ........................................................................................... ~ 0s
